STATE,State_Population_Total,Registered_Voters_Total,%Registered_Total,Total_Voters,Total_Voters%,Male_Population_Total,Male_Registered_Voters_Total,Male_Registered_Voters%,Male_Total_Voted,Male_%Voted,Female_Population_Total,Female_Registered_Voters_Total,Female_Registered_Voters%,Female_Total_Voted,Female_%Voted,White_non-Hispanic_Population_Total,White_non-Hispanic_Registered_Voters_Total,White_non-Hispanic_Registered_Voters %,White_non-Hispanic_Total_Voted,White_non-Hispanic_%Voted,Black_Population_Total,Black_Registered _Voters_Total,Black_Registered_Voters%,Black_Total_Voted,Black_%Voted,Asian_Population_Total,Asian_Registered_Voters_Total,Asian_Registered_Voters%,Asian_Total_Voted,Asian_%Voted,Hispanic_Population_Total,Hispanic_Registered_Voters_Total,Hispanic_Registered_Voters%,Hispanic_Total_Voted,Hispanic_%Voted,18-24_Population_Total,18-24_Registered_Voters_Total,18-24_Registered_Voters%,18-24_Total_Voted,18-24_%Voted,25-34_Population_Total,25-34_Registered_Voters_Total,25-34_Registered_Voters%,25-34_Total_Voted,25-34_%Voted,35-44_Population_Total,35-44_Registered_Voters_Total,35-44_Registered_Voters%,35-44_Total_Voted,35-44_%Voted,45-64_Population_Total,45-64_Registered_Voters_Total,45-64_Registered_Voters%,45-64_Total_Voted,45-64_%Voted,65+_Population_Total,65+_Registered_Voters_Total,65+_Registered_Voters%,65+_Total_Voted,65+_%Voted
MINNESOTA,4238,3000,70.8,2523,59.5,2099,1429,68.1,1194,56.9,2139,1570,73.4,1329,62.1,3485,2683,77,2249,64.5,252,128,50.8,106,42.1,225,78,34.6,68,30.2,156,44,28.2,37,23.8,440,210,47.8,175,39.9,795,434,54.7,330,41.5,692,502,72.5,419,60.6,1519,1155,76,981,64.6,793,699,88.1,618,77.9
MISSISSIPPI,2194,1599,72.9,1180,53.8,1027,718,69.9,531,51.7,1167,881,75.5,650,55.7,1317,943,71.6,679,51.6,798,621,77.8,476,59.6,16,3,0,0,0,44,16,0,11,0,269,123,45.7,72,26.7,365,253,69.5,133,36.5,353,267,75.7,187,53.1,727,571,78.5,472,64.9,481,385,80.1,316,65.8
MISSOURI,4676,3299,70.6,2509,53.7,2243,1541,68.7,1162,51.8,2433,1758,72.3,1346,55.3,3874,2839,73.3,2185,56.4,504,326,64.8,238,47.3,55,17,0,3,0,176,53,30,47,26.5,522,307,58.8,202,38.7,805,544,67.6,373,46.3,780,517,66.3,386,49.5,1462,1064,72.8,832,56.9,1107,867,78.3,716,64.7
MONTANA,822,579,70.4,518,63,405,279,68.8,247,61.1,417,300,71.9,271,64.9,747,534,71.5,483,64.7,4,1,0.00001,0,0.00001,5,3,0.00001,3,0.00001,22,11,0,11,0,83,41,49.7,32,38.3,147,89,60.9,71,48,127,90,70.6,76,59.8,254,192,75.5,178,70.1,212,167,78.8,162,76.6
NEBRASKA,1428,883,61.9,676,47.3,710,418,58.9,314,44.2,718,466,64.8,362,50.5,1113,782,70.2,606,54.5,60,26,0.00001,15,0.00001,58,11,0.00001,8,0.00001,175,50,28.7,34,19.7,172,69,40.1,50,29.2,286,165,57.6,112,39.1,215,113,52.6,81,37.9,467,311,66.5,244,52.2,288,226,78.5,189,65.5
NEVADA,2324,1277,55,1006,43.3,1145,616,53.8,497,43.4,1179,662,56.1,509,43.2,1261,850,67.4,701,55.6,197,108,55,65,33.3,230,69,30.2,49,21.4,584,212,36.2,156,26.7,260,119,45.7,77,29.7,433,192,44.3,115,26.6,373,191,51.3,141,37.8,791,452,57.2,372,47,467,323,69.1,301,64.5
NEW HAMPSHIRE,1080,726,67.2,576,53.3,530,359,67.8,280,52.9,550,367,66.7,296,53.8,970,683,70.3,545,56.1,16,2,0.00001,2,0.00001,38,15,0.00001,10,0.00001,42,18,0,14,0,114,61,53.4,39,34.4,153,84,55.3,61,39.9,175,108,61.7,80,45.8,404,298,73.7,241,59.6,234,175,74.9,155,66.3
NEW JERSEY,7009,4297,61.3,3384,48.3,3348,2046,61.1,1577,47.1,3660,2251,61.5,1808,49.4,4081,2847,69.7,2283,55.9,1013,611,60.3,472,46.6,690,281,40.7,188,27.2,1259,578,45.9,471,37.4,811,350,43.1,237,29.2,1235,670,54.2,435,35.2,1076,661,61.4,548,50.9,2361,1573,66.6,1297,55,1526,1043,68.4,868,56.8
NEW MEXICO,1576,916,58.1,715,45.3,761,422,55.5,327,43,815,493,60.5,387,47.5,644,465,72.2,388,60.3,30,15,0.00001,9,0.00001,32,9,0.00001,7,0.00001,666,322,48.3,242,36.3,184,80,43.6,50,27.4,284,148,52.2,97,34.1,236,121,51.2,81,34.4,528,311,59,263,49.8,345,255,74,224,64.8
NEW YORK,15478,8553,55.3,6775,43.8,7364,3934,53.4,3081,41.8,8113,4619,56.9,3694,45.5,9108,5770,63.4,4604,50.6,2570,1410,54.9,1182,46,1443,504,34.9,344,23.8,2604,963,37,731,28.1,1762,734,41.7,505,28.6,2962,1302,44,958,32.4,2421,1301,53.8,1005,41.5,4936,2918,59.1,2341,47.4,3396,2297,67.6,1965,57.9
NORTH CAROLINA,7911,5160,65.2,3899,49.3,3748,2384,63.6,1822,48.6,4163,2776,66.7,2077,49.9,5239,3721,71,2814,53.7,1685,1110,65.9,852,50.6,186,90,48.5,68,36.4,588,131,22.3,104,17.6,1002,468,46.7,302,30.1,1329,769,57.8,447,33.6,1200,710,59.1,526,43.9,2742,1905,69.5,1555,56.7,1639,1309,79.9,1069,65.2
NORTH DAKOTA,560,397,70.9,335,59.8,286,194,67.8,160,56,274,204,74.3,175,63.8,488,362,74.2,311,63.7,14,2,0.00001,1,0.00001,8,0,0.00001,0,0.00001,16,10,0,7,0,74,42,0,26,0,122,78,64,60,49.4,81,57,69.9,47,57.9,165,125,75.3,112,67.9,118,96,81.6,90,76.1
OHIO,8873,6062,68.3,4538,51.1,4294,2840,66.1,2035,47.4,4579,3222,70.4,2503,54.7,7203,5058,70.2,3849,53.4,1054,707,67.1,519,49.2,207,93,45.1,65,31.3,235,121,51.5,60,25.7,1033,503,48.7,226,21.9,1472,882,59.9,601,40.8,1365,956,70.1,706,51.8,3127,2238,71.6,1750,56,1876,1482,79,1254,66.9
OKLAHOMA,2868,1777,62,1350,47.1,1388,824,59.4,626,45.1,1480,953,64.4,724,48.9,1957,1341,68.5,1035,52.9,195,90,46.1,61,31.2,70,23,0,15,0,310,88,28.5,71,22.8,309,110,35.6,65,21.1,507,275,54.2,191,37.6,509,305,59.8,202,39.7,912,600,65.8,486,53.2,631,487,77.2,406,64.4
OREGON,3293,2274,69.1,1918,58.2,1612,1078,66.9,912,56.6,1681,1197,71.2,1006,59.8,2584,1956,75.7,1694,65.6,78,43,55.5,41,52.1,172,71,41.1,36,21,365,140,38.3,93,25.4,336,205,61.1,128,38.2,626,403,64.4,334,53.3,539,336,62.4,259,48.1,976,708,72.6,633,64.9,816,622,76.2,564,69.1
PENNSYLVANIA,9928,6469,65.2,5173,52.1,4736,3056,64.5,2445,51.6,5192,3414,65.7,2728,52.5,7712,5434,70.5,4323,56.1,1059,653,61.7,562,53.1,423,106,25.1,87,20.6,657,218,33.2,154,23.4,1144,546,47.7,365,31.9,1622,883,54.4,603,37.2,1464,903,61.6,705,48.1,3381,2437,72.1,2034,60.2,2317,1702,73.5,1465,63.2
RHODE ISLAND,828,532,64.2,403,48.7,394,238,60.5,186,47.4,435,293,67.5,217,49.9,642,447,69.8,345,53.8,53,26,0.00001,16,0.00001,26,7,0.00001,5,0.00001,98,44,45,30,30.5,90,50,55.5,34,37.8,145,72,49.6,45,31,129,79,60.8,57,44.2,304,210,69.2,172,56.4,159,121,75.7,95,59.8
